code,common_name,genus_species,higher_classification,complex_components
roso,rock sole,lepidopsetta bilineata,,
rtsn,ringtail snailfish,liparis rutteri,,
sagu,saddleback gunnel,pholis ornata,,
sand,pacific sandlance,ammodytes hexapterus,,
sard,pacific sardine,sardinops sagax,,
sasc,saddleback sculpin,oligocottus rimensis,,
saso,sand sole,psettichthys melanostictus,,
scsc,scalyhead sculpin,artedius harringtoni,,
sfsc,sailfin sculpin,nautichthys oculofasciatus,,
sgro,silvergray rockfish,sebastes brevispinus,,
shpe,shiner surfperch,cymatogaster aggregata,,
shsc,sharpnose sculpin,clinocottus acuticeps,,
shsn,showy snailfish,liparis pulchellus,,
sipe,silver surfperch,hyperprosopon ellipticum,,
sisc,silverspotted sculpin,blepsias cirrhosus,,
slco,slender cockscomb,anoplarchus insignis,,
slsn,slimy snailfish,liparis mucosus,,
smsc,smoothhead sculpin,artedius lateralis,,
snpr,pacific snake prickleback,lumpenus sagitta,,
sock,sockeye,oncorhynchus nerka,,
spdo,spiny dogfish,squalus acanthias,,
splu,spiny lumpsucker,eumicrotremus orbis,,
spsa,speckled sanddab,citharichthys stigmaeus,,
spsc,spinynose sculpin,radulinus taylori,,
spsn,spotted snailfish,liparis callyodon,,
spso,splitnose rockfish,sebastes diploproa,,
stee,steelhead,oncorhynchus mykiss,,
stfl,starry flounder,platichthys stellatus,,
stke,striped kelpfish,gibbonsia metzi,,
stpe,striped seaperch,embiotoca lateralis,,
stop,sturgeon poacher,podothecus accipenserinus,,
stsc,staghorn sculpin,leptocottus armatus,,
stsk,starry skate,raja stellulata,,
susm,surf smelt,hypomesus pretiosus,,
tasc,tadpole sculpin,psychrolutes paradoxus,,
thst,threespine stickleback,gasterosteus aculeatus,,
tiro,tiger rockfish,sebastes nigrocinctus,,
tisc,tidepool sculpin,oligocottus maculosus,,
tomc,tomcod,microgadus proximus,,
tube,tube-snout,aulorhynchus flavidus,,
tupo,tubenose poacher,pallasina barbata,,
unar,unidentified artedius,artedius,,Artedius_fenestralis Artedius_lateralis
uncc,unidentified coxcomb,anoplarchus,,
unco,unidentified cod,Gadidae,Family: Gadidae,
unfl,unidentified flatfish,Pleuronectiformes,Family: Pleuronectiformes,
ungr,unidentified greenling,Hexagrammidae,Family: Hexagrammidae,
ungu,unidentified gunnel,Pholididae,Family: Pholididae,
unil,unidentified irish lord,hemilepidotus,,
unke,unidentified kelpfish,gibbonsia,,
unla,unidentified larval fish,Actinopterygii,Family: ,
unpe,unidentified perch,Embiotocidae,Family: Embiotocidae,
unpo,unidentified poacher,Agonidae,Family: Agonidae,
unrn,unidentified ronquil,Bathymasteridae,Family: Bathymasteridae,
unro,unidentified rockfish,sebastes,,
unsa,unidentified salmon,oncorhynchus,,
unsc,unidentified sculpin,Cottidae,Family: Cottidae,
unsd,unidentified sanddab,Paralichthyidae,Family: Paralichthyidae,
unsm,unidentified smelt,Osmeridae,Family: Osmeridae,
unsn,unidentified snailfish,Liparidae,Family: Liparidae,
untr,unidentified trout,oncorhynchus,,oncorhynchus_clarkii oncorhynchus_mykiss
vero,vermilion rockfish,sebastes miniatus,,
wall,walleye pollock,theragra chalcogramma,,
wapo,warty poacher,chesnonia verrucosa,,
whgr,whitespotted greenling,hexagrammos stelleri,,
wiro,widow rockfish,sebastes entomelas,,
yero,yellowtail rockfish,sebastes flavidus,,
yeso,yellowfin sole,limanda aspera,,
uncs,unidentified cottus species,cottus,,
pasr,pacific saury,cololabis saira,,
ungo,unknown goby,Gobiidae,Family: Gobidae,
unba,unknown poacher,bathyagonus,,
snsc,snubnose sculpin,Orthonopias triacis,,
